Label (Grouping),Category,State,Estimate,Margin of Error,Percent,Percent Margin of Error,Year
"$75,000 to $99,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"500,145","±6,476",12.9%,±0.2,2021
"$100,000 to $149,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"603,397","±6,000",15.5%,±0.1,2021
"$150,000 to $199,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"275,916","±5,034",7.1%,±0.1,2021
"$200,000 or more",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"315,790","±5,094",8.1%,±0.1,2021
        Median household income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"65,030",±355,(X),(X),2021
        Mean household income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"91,082",±498,(X),(X),2021
        With earnings,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"3,078,858","±9,207",79.2%,±0.2,2021
            Mean earnings (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"92,716",±525,(X),(X),2021
        With Social Security,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"1,130,961","±6,395",29.1%,±0.1,2021
            Mean Social Security income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"20,573",±104,(X),(X),2021
        With retirement income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"788,639","±8,938",20.3%,±0.2,2021
            Mean retirement income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"29,264",±433,(X),(X),2021
        With Supplemental Security Income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"204,813","±4,045",5.3%,±0.1,2021
            Mean Supplemental Security Income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"10,467",±144,(X),(X),2021
        With cash public assistance income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"68,935","±2,348",1.8%,±0.1,2021
            Mean cash public assistance income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"3,234",±142,(X),(X),2021
With Food Stamp/SNAP benefits in the past 12 months,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"463,135","±6,001",11.9%,±0.2,2021
    Families,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"2,592,437","±11,679","2,592,437",(X),2021
"Less than $10,000",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"100,259","±3,473",3.9%,±0.1,2021
"$10,000 to $14,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"56,316","±2,229",2.2%,±0.1,2021
"$15,000 to $24,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"156,359","±3,859",6.0%,±0.1,2021
"$25,000 to $34,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"193,508","±4,186",7.5%,±0.2,2021
"$35,000 to $49,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"281,055","±4,899",10.8%,±0.2,2021
"$50,000 to $74,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"448,250","±5,877",17.3%,±0.2,2021
"$75,000 to $99,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"363,087","±5,898",14.0%,±0.2,2021
"$100,000 to $149,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"485,372","±5,661",18.7%,±0.2,2021
"$150,000 to $199,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"234,448","±4,475",9.0%,±0.2,2021
"$200,000 or more",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"273,783","±4,955",10.6%,±0.2,2021
        Median family income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"78,834",±539,(X),(X),2021
        Mean family income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"106,071",±745,(X),(X),2021
    Per capita income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"34,516",±192,(X),(X),2021
    Nonfamily households,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"1,292,934","±9,380","1,292,934",(X),2021
        Median nonfamily income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"39,777",±364,(X),(X),2021
        Mean nonfamily income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"57,061",±592,(X),(X),2021
    Median earnings for workers (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"36,788",±170,(X),(X),2021
"    Median earnings for male full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"53,634",±244,(X),(X),2021
"    Median earnings for female full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"43,598",±217,(X),(X),2021
HEALTH INSURANCE COVERAGE,Header,Georgia,,,,,2021
    Civilian noninstitutionalized population,HEALTH INSURANCE COVERAGE,Georgia,"10,438,528","±2,194","10,438,528",(X),2021
        With health insurance coverage,HEALTH INSURANCE COVERAGE,Georgia,"9,067,501","±17,961",86.9%,±0.2,2021
            With private health insurance,HEALTH INSURANCE COVERAGE,Georgia,"6,913,616","±31,563",66.2%,±0.3,2021
            With public coverage,HEALTH INSURANCE COVERAGE,Georgia,"3,265,466","±17,581",31.3%,±0.2,2021
        No health insurance coverage,HEALTH INSURANCE COVERAGE,Georgia,"1,371,027","±17,961",13.1%,±0.2,2021
Civilian noninstitutionalized population under 19 years,HEALTH INSURANCE COVERAGE,Georgia,"2,688,186","±3,041","2,688,186",(X),2021
        No health insurance coverage,HEALTH INSURANCE COVERAGE,Georgia,"200,677","±5,586",7.5%,±0.2,2021
Civilian noninstitutionalized population 19 to 64 years,HEALTH INSURANCE COVERAGE,Georgia,"6,297,105","±4,077","6,297,105",(X),2021
        In labor force:,HEALTH INSURANCE COVERAGE,Georgia,"4,872,206","±11,656","4,872,206",(X),2021
            Employed:,HEALTH INSURANCE COVERAGE,Georgia,"4,615,686","±11,998","4,615,686",(X),2021
                With health insurance coverage,HEALTH INSURANCE COVERAGE,Georgia,"3,893,041","±17,756",84.3%,±0.2,2021
                    With private health insurance,HEALTH INSURANCE COVERAGE,Georgia,"3,726,496","±17,937",80.7%,±0.3,2021
                    With public coverage,HEALTH INSURANCE COVERAGE,Georgia,"290,325","±6,071",6.3%,±0.1,2021
                No health insurance coverage,HEALTH INSURANCE COVERAGE,Georgia,"722,645","±10,629",15.7%,±0.2,2021
            Unemployed:,HEALTH INSURANCE COVERAGE,Georgia,"256,520","±5,134","256,520",(X),2021
                With health insurance coverage,HEALTH INSURANCE COVERAGE,Georgia,"151,324","±3,962",59.0%,±1.1,2021
                    With private health insurance,HEALTH INSURANCE COVERAGE,Georgia,"108,541","±3,604",42.3%,±1.1,2021
                    With public coverage,HEALTH INSURANCE COVERAGE,Georgia,"50,449","±2,472",19.7%,±0.9,2021
                No health insurance coverage,HEALTH INSURANCE COVERAGE,Georgia,"105,196","±3,664",41.0%,±1.1,2021
        Not in labor force:,HEALTH INSURANCE COVERAGE,Georgia,"1,424,899","±10,907","1,424,899",(X),2021
            With health insurance coverage,HEALTH INSURANCE COVERAGE,Georgia,"1,095,859","±8,723",76.9%,±0.4,2021
                With private health insurance,HEALTH INSURANCE COVERAGE,Georgia,"732,116","±8,407",51.4%,±0.5,2021
                With public coverage,HEALTH INSURANCE COVERAGE,Georgia,"475,231","±6,985",33.4%,±0.4,2021
            No health insurance coverage,HEALTH INSURANCE COVERAGE,Georgia,"329,040","±6,447",23.1%,±0.4,2021
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Header,Georgia,,,,,2021
    All families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Georgia,(X),(X),10.3%,±0.2,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Georgia,(X),(X),15.5%,±0.3,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Georgia,(X),(X),14.3%,±0.9,2021
        Married couple families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Georgia,(X),(X),5.0%,±0.2,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Georgia,(X),(X),6.5%,±0.3,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Georgia,(X),(X),4.9%,±0.6,2021
"        Families with female householder, no spouse present",PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Georgia,(X),(X),25.8%,±0.5,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Georgia,(X),(X),34.2%,±0.8,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Georgia,(X),(X),35.6%,±2.3,2021
    All people,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Georgia,(X),(X),13.9%,±0.2,2021
Under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Georgia,(X),(X),19.6%,±0.4,2021
Related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Georgia,(X),(X),19.3%,±0.4,2021
Related children of the householder under 5 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Georgia,(X),(X),21.3%,±0.7,2021
Related children of the householder 5 to 17 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Georgia,(X),(X),18.6%,±0.5,2021
18 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Georgia,(X),(X),12.1%,±0.2,2021
18 to 64 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Georgia,(X),(X),12.6%,±0.2,2021
65 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Georgia,(X),(X),10.1%,±0.2,2021
        People in families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Georgia,(X),(X),11.6%,±0.2,2021
Unrelated individuals 15 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Georgia,(X),(X),24.7%,±0.3,2021
EMPLOYMENT STATUS,Header,Hawaii,,,,,2021
Population 16 years and over,EMPLOYMENT STATUS,Hawaii,"1,174,511",±707,"1,174,511",(X),2021
        In labor force,EMPLOYMENT STATUS,Hawaii,"764,801","±3,772",65.1%,±0.3,2021
            Civilian labor force,EMPLOYMENT STATUS,Hawaii,"717,453","±3,856",61.1%,±0.3,2021
                Employed,EMPLOYMENT STATUS,Hawaii,"680,301","±3,917",57.9%,±0.3,2021
                Unemployed,EMPLOYMENT STATUS,Hawaii,"37,152","±1,373",3.2%,±0.1,2021
            Armed Forces,EMPLOYMENT STATUS,Hawaii,"47,348","±1,245",4.0%,±0.1,2021
        Not in labor force,EMPLOYMENT STATUS,Hawaii,"409,710","±3,901",34.9%,±0.3,2021
    Civilian labor force,EMPLOYMENT STATUS,Hawaii,"717,453","±3,856","717,453",(X),2021
        Unemployment Rate,EMPLOYMENT STATUS,Hawaii,(X),(X),5.2%,±0.2,2021
Females 16 years and over,EMPLOYMENT STATUS,Hawaii,"586,446",±566,"586,446",(X),2021
        In labor force,EMPLOYMENT STATUS,Hawaii,"357,237","±2,767",60.9%,±0.5,2021
            Civilian labor force,EMPLOYMENT STATUS,Hawaii,"349,971","±2,904",59.7%,±0.5,2021
                Employed,EMPLOYMENT STATUS,Hawaii,"332,379","±2,891",56.7%,±0.5,2021
Own children of the householder under 6 years,EMPLOYMENT STATUS,Hawaii,"97,650","±1,102","97,650",(X),2021
        All parents in family in labor force,EMPLOYMENT STATUS,Hawaii,"63,875","±1,582",65.4%,±1.6,2021
Own children of the householder 6 to 17 years,EMPLOYMENT STATUS,Hawaii,"191,072","±1,527","191,072",(X),2021
        All parents in family in labor force,EMPLOYMENT STATUS,Hawaii,"141,962","±2,059",74.3%,±0.8,2021
COMMUTING TO WORK,Header,Hawaii,,,,,2021
Workers 16 years and over,COMMUTING TO WORK,Hawaii,"707,605","±3,958","707,605",(X),2021
"        Car, truck, or van -- drove alone",COMMUTING TO WORK,Hawaii,"475,631","±4,036",67.2%,±0.5,2021
"        Car, truck, or van -- carpooled",COMMUTING TO WORK,Hawaii,"95,425","±2,682",13.5%,±0.4,2021
        Public transportation (excluding taxicab),COMMUTING TO WORK,Hawaii,"34,618","±1,330",4.9%,±0.2,2021
        Walked,COMMUTING TO WORK,Hawaii,"31,226","±1,486",4.4%,±0.2,2021
        Other means,COMMUTING TO WORK,Hawaii,"21,451","±1,326",3.0%,±0.2,2021
        Worked from home,COMMUTING TO WORK,Hawaii,"49,254","±1,891",7.0%,±0.3,2021
        Mean travel time to work (minutes),COMMUTING TO WORK,Hawaii,26.8,±0.2,(X),(X),2021
OCCUPATION,Header,Hawaii,,,,,2021
Civilian employed population 16 years and over,OCCUPATION,Hawaii,"680,301","±3,917","680,301",(X),2021
"        Management, business, science, and arts occupations",OCCUPATION,Hawaii,"249,328","±3,876",36.6%,±0.5,2021
        Service occupations,OCCUPATION,Hawaii,"152,874","±3,045",22.5%,±0.4,2021
        Sales and office occupations,OCCUPATION,Hawaii,"152,942","±2,768",22.5%,±0.4,2021
"        Natural resources, construction, and maintenance occupations",OCCUPATION,Hawaii,"62,681","±2,008",9.2%,±0.3,2021
"        Production, transportation, and material moving occupations",OCCUPATION,Hawaii,"62,476","±1,854",9.2%,±0.3,2021
INDUSTRY,Header,Hawaii,,,,,2021
Civilian employed population 16 years and over,INDUSTRY,Hawaii,"680,301","±3,917","680,301",(X),2021
"        Agriculture, forestry, fishing and hunting, and mining",INDUSTRY,Hawaii,"9,414",±828,1.4%,±0.1,2021
        Construction,INDUSTRY,Hawaii,"49,778","±1,751",7.3%,±0.3,2021
        Manufacturing,INDUSTRY,Hawaii,"19,487",±962,2.9%,±0.1,2021
        Wholesale trade,INDUSTRY,Hawaii,"15,339","±1,053",2.3%,±0.2,2021
        Retail trade,INDUSTRY,Hawaii,"75,926","±2,110",11.2%,±0.3,2021
"        Transportation and warehousing, and utilities",INDUSTRY,Hawaii,"43,471","±1,659",6.4%,±0.2,2021
        Information,INDUSTRY,Hawaii,"9,707",±767,1.4%,±0.1,2021
"        Finance and insurance, and real estate and rental and leasing",INDUSTRY,Hawaii,"43,907","±1,558",6.5%,±0.2,2021
"        Professional, scientific, and management, and administrative and waste management services",INDUSTRY,Hawaii,"70,445","±2,236",10.4%,±0.3,2021
"        Educational services, and health care and social assistance",INDUSTRY,Hawaii,"149,733","±3,145",22.0%,±0.4,2021
"        Arts, entertainment, and recreation, and accommodation and food services",INDUSTRY,Hawaii,"105,443","±2,743",15.5%,±0.4,2021
"        Other services, except public administration",INDUSTRY,Hawaii,"28,709","±1,372",4.2%,±0.2,2021
        Public administration,INDUSTRY,Hawaii,"58,942","±1,767",8.7%,±0.3,2021
CLASS OF WORKER,Header,Hawaii,,,,,2021
Civilian employed population 16 years and over,CLASS OF WORKER,Hawaii,"680,301","±3,917","680,301",(X),2021
        Private wage and salary workers,CLASS OF WORKER,Hawaii,"490,146","±4,088",72.0%,±0.4,2021
        Government workers,CLASS OF WORKER,Hawaii,"141,942","±2,796",20.9%,±0.4,2021
        Self-employed in own not incorporated business workers,CLASS OF WORKER,Hawaii,"46,660","±1,679",6.9%,±0.2,2021
        Unpaid family workers,CLASS OF WORKER,Hawaii,"1,553",±370,0.2%,±0.1,2021
INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Header,Hawaii,,,,,2021
    Total households,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Hawaii,"478,413","±2,009","478,413",(X),2021
"Less than $10,000",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Hawaii,"22,771","±1,199",4.8%,±0.2,2021
"$10,000 to $14,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Hawaii,"12,094",±803,2.5%,±0.2,2021
"$15,000 to $24,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Hawaii,"24,859","±1,288",5.2%,±0.3,2021
"$25,000 to $34,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Hawaii,"28,227","±1,468",5.9%,±0.3,2021
"$35,000 to $49,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Hawaii,"43,803","±1,688",9.2%,±0.4,2021
"$50,000 to $74,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Hawaii,"71,907","±1,777",15.0%,±0.4,2021
"$75,000 to $99,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Hawaii,"65,498","±1,884",13.7%,±0.4,2021
"$100,000 to $149,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Hawaii,"94,242","±1,876",19.7%,±0.4,2021
"$150,000 to $199,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Hawaii,"53,902","±1,735",11.3%,±0.4,2021
"$200,000 or more",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Hawaii,"61,110","±1,706",12.8%,±0.3,2021
